SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2038,5,3,Rural,1981,174033.06497018327
2215,3,1,Urban,1953,236900.26162707162
2654,4,1,Rural,2014,234263.2942364666
1484,3,3,Rural,1979,160660.39255138277
1027,5,2,Rural,1951,146631.55816664017
1713,5,3,Urban,1997,243336.44029954553
2062,4,1,Rural,1955,215906.95958132923
2976,3,3,Rural,2016,401985.28770546045
2296,3,3,Urban,2019,289130.5018292238
2254,2,2,Suburb,1983,299759.5827932454
1085,3,3,Suburb,1952,170202.39969810474
2497,4,3,Rural,1986,269624.0149227661
1125,5,1,Urban,2003,127992.89209623913
1811,2,2,Rural,1971,202758.00355505844
1536,4,3,Rural,1951,231199.85045298026
1144,4,3,Urban,1955,140611.7564365718
2548,2,1,Suburb,1987,186540.95738958288
2235,3,1,Urban,2017,213170.3489865374
1024,2,2,Urban,2006,-24715.242482127476
2603,4,2,Rural,1955,262747.1866764889
2417,3,2,Urban,1983,241061.3837464255
1066,5,1,Urban,2001,121229.06696989594
1232,2,1,Rural,1955,162027.02359241215
1108,4,1,Urban,2013,223401.14973427367
2169,3,1,Urban,2008,195532.47444866446
1110,4,2,Urban,1989,159300.64791520743
1227,3,2,Suburb,1965,62986.305623597436
1110,3,2,Urban,2015,155601.3059886569
2493,2,1,Urban,1959,271473.4355612747
1033,5,1,Urban,1979,257937.67034904443
1622,3,1,Rural,1982,162059.8140930315
2799,4,1,Rural,2017,298891.0325010249
2959,3,3,Rural,1988,256438.81409021677
2392,5,2,Rural,1953,339929.76869929396
1747,4,2,Suburb,2013,153806.36900681508
1594,3,3,Rural,1974,230984.63033480057
2577,3,2,Rural,1964,354670.2666794227
1424,2,1,Urban,1955,81791.59900770316
1612,5,2,Urban,2018,197839.95802000526
2541,3,1,Rural,1992,279927.3625480185
1691,5,1,Rural,2000,123146.72083859936
2305,3,1,Urban,1964,173424.07900977868
2343,4,3,Rural,2004,171330.51934510586
2761,5,2,Suburb,1952,225236.92813595192
2466,4,1,Urban,1959,312980.8789863423
2975,5,2,Rural,1973,230128.1482991742
1314,4,3,Urban,1991,181639.56747146888
1876,3,2,Rural,2015,274445.7924827869
2989,4,2,Suburb,1959,366555.23553300614
2764,4,2,Suburb,1990,250869.37139639875
2400,3,2,Suburb,1970,379321.2427296218
2312,5,3,Urban,2002,282074.2092470182
2460,4,2,Rural,2018,255506.8042751595
1661,2,1,Urban,2006,272637.28658017167
1276,2,3,Urban,1969,199083.42704097152
2733,4,2,Urban,1971,287467.2210154907
2605,4,2,Suburb,1999,307809.4843537617
2526,4,1,Suburb,2021,312283.543814276
1623,5,3,Rural,1957,257388.34095138847
1515,3,3,Suburb,1961,129303.2938688843
2373,2,1,Rural,1978,339049.5567186495
1842,2,2,Rural,1987,169699.08392283635
2469,5,2,Suburb,1975,290906.1659022507
2853,4,3,Suburb,1959,265870.28893385764
1349,4,3,Suburb,2006,69051.27590717527
2630,3,2,Rural,2000,237559.91862629275
2687,3,1,Urban,1974,288266.3123426724
1822,2,1,Rural,1998,250317.0277540885
2160,3,2,Rural,1964,240498.29416751303
1758,2,1,Urban,1991,257528.45727921935
1898,5,3,Rural,1970,252217.31133150935
1242,4,2,Rural,1976,129691.64504627741
1542,4,1,Suburb,2012,245906.66735232377
2063,2,1,Suburb,2000,232425.85234645676
1228,4,3,Urban,1981,121480.63031726415
1547,5,3,Suburb,1961,198137.8777255841
1919,3,2,Suburb,1973,203344.11668633402
2246,5,3,Suburb,1992,260688.80084308676
1005,4,3,Urban,1991,87658.88397990151
2345,5,2,Urban,2019,316660.36622499407
1467,4,1,Suburb,1976,115795.36169598394
2755,2,3,Rural,2011,287310.4061580721
1074,3,2,Urban,1963,149952.3900003126
1003,3,3,Urban,2005,88765.26778640246
2870,4,3,Rural,1951,314993.8587969561
1645,4,1,Rural,2018,144500.26529451777
1117,3,3,Suburb,1967,72090.54117520008
1880,5,3,Rural,2014,305647.9088776054
2629,5,3,Rural,1953,340724.39626619034
1503,5,1,Rural,1996,179352.70774634968
1946,3,3,Suburb,1994,261841.75389257935
1573,2,2,Suburb,2019,213060.55184850938
2464,4,2,Suburb,2014,255410.48067567658
1193,4,1,Suburb,2019,193815.8688507923
1846,3,1,Urban,2008,162337.90730916703
1714,2,1,Suburb,1981,229013.33238830016
2415,3,3,Suburb,1992,187933.53221257168
2049,5,1,Rural,1987,216764.62623127396
2458,5,2,Suburb,1978,208859.19647594116
1172,4,2,Suburb,2018,164459.1066147965
2323,4,3,Rural,1995,328992.56340750004
2668,4,3,Suburb,1950,338334.53661877057
1325,4,3,Rural,1955,140293.84973121644
2433,5,3,Urban,1985,221513.4583150833
2141,5,2,Rural,2013,395177.0032875865
1835,2,2,Rural,1976,337327.046213647
2810,4,1,Urban,1950,243300.74651117803
1723,3,3,Rural,1978,228232.34116354445
1224,2,2,Rural,2019,79423.9663565791
1531,2,2,Urban,1981,104181.92183999768
1112,5,1,Rural,1951,141798.62504769547
1139,4,2,Urban,1973,144597.0045224462
1558,2,2,Urban,1965,220726.23351701314
1000,4,3,Urban,2001,23621.030327305663
1089,5,1,Suburb,1975,134466.10677864333
1653,2,3,Urban,1950,201655.99867090862
1319,2,3,Rural,1973,289406.8430368537
2573,3,1,Suburb,1977,231364.18776025716
2828,5,1,Rural,1982,331264.24390558613
2917,3,3,Urban,1991,394127.17058512545
1138,5,3,Suburb,1999,256454.54783227463
2534,3,3,Rural,1960,363923.8958233242
2891,5,3,Suburb,2011,331896.53322627756
1844,5,1,Suburb,1996,205052.30153370445
1258,2,2,Urban,1955,104012.04529507381
2696,3,1,Suburb,1959,360128.4682196975
1901,3,2,Rural,1998,184846.6214197138
1689,3,1,Suburb,1957,171906.8920854213
1009,2,3,Suburb,1978,131689.47986554357
1260,4,2,Urban,1994,94957.76478839171
2942,5,1,Urban,1961,340308.46253648575
2673,3,1,Urban,1987,251275.55246121038
1171,5,1,Urban,2004,187244.1802802173
1897,2,3,Urban,2001,352779.5971830275
1012,5,1,Suburb,1967,182260.27183233722
2191,2,1,Urban,2015,157002.5776735242
2665,4,3,Suburb,2013,310691.4933075554
2619,3,2,Urban,1950,254887.5858409593
1320,2,2,Urban,2018,165514.45692983113
2342,5,3,Rural,2012,302265.54308772273
2636,2,2,Urban,1961,256038.37121715496
1328,2,1,Urban,1958,175621.18830099958
1784,4,1,Suburb,1965,247140.83672900172
1776,3,2,Suburb,1990,181801.44671051233
2994,2,2,Urban,1971,352046.42888642254
1910,2,2,Urban,1963,134467.81902500062
2943,5,3,Rural,1998,370903.69050211
2573,2,2,Rural,2005,397850.34037841985
2442,2,3,Suburb,2007,312943.7449668429
2629,3,2,Suburb,1955,342274.50061142346
2118,3,3,Suburb,1952,327981.93263748905
2840,5,3,Suburb,1987,312046.86205179745
2604,2,1,Suburb,1981,314944.17478153354
1317,2,2,Rural,1974,156225.69820085747
2979,2,1,Rural,1955,324357.79313350684
1235,4,1,Suburb,1983,241791.24439489818
2969,4,3,Rural,1986,369632.8628236745
1333,5,3,Rural,2009,79993.95024637695
2908,4,3,Suburb,1956,282492.2195684882
1375,5,3,Urban,2007,143427.79362653772
2482,2,1,Suburb,1969,288077.24279455945
2160,4,3,Suburb,1984,261779.61037952764
2953,3,1,Suburb,1968,315491.5382549024
1587,4,1,Rural,1960,225659.3006397584
2570,2,2,Suburb,2001,379870.51772023266
1512,3,2,Urban,2006,117764.75035469324
2319,5,3,Suburb,2001,365341.82856135105
2343,2,1,Suburb,1962,200036.59267480482
1917,3,1,Urban,1975,73956.1531989394
2595,4,1,Rural,2003,323948.9886241465
2855,5,2,Rural,1966,336663.75521238404
2372,4,1,Suburb,1956,230595.3125008875
2863,3,1,Urban,1968,378242.89964844746
2802,3,1,Rural,1955,163978.9313952492
1872,2,2,Rural,1991,248496.03186603377
2252,5,3,Urban,1957,198792.81016550888
1269,5,3,Urban,1979,221758.65514275213
2851,3,3,Urban,1989,253972.5087843631
1797,2,2,Rural,1951,159062.0271053596
2314,3,2,Suburb,2017,200738.02722889147
1724,3,3,Urban,1997,208809.89549912643
2188,5,3,Suburb,1976,244617.49370686532
1004,4,2,Urban,1963,80110.4422333746
1850,4,3,Urban,1999,141837.84422419104
2402,5,1,Urban,1954,276920.0327186543
1077,2,2,Urban,1970,39789.05637936934
2433,5,3,Suburb,1997,323905.12899115216
1573,2,3,Rural,1981,186844.43801430272
1131,5,2,Rural,1950,131388.3617121804
1600,2,2,Suburb,2012,271767.33303371945
2772,3,1,Urban,2005,248601.3277744112
2065,3,2,Urban,1960,242018.57414417938
1088,2,2,Rural,1959,160656.6245574956
1401,5,1,Suburb,1984,183614.37987327902
1295,3,3,Suburb,1980,69742.31853570514
2863,5,2,Rural,1953,277955.2828065936
2318,4,3,Urban,1977,172213.52668389384
1615,3,1,Urban,1975,192169.92869152947
2549,5,2,Urban,2003,299271.279198641
1799,5,1,Rural,1961,192391.94607936597
2714,4,3,Rural,1985,281494.4284269798
2660,5,1,Rural,1965,283144.02356349287
1421,2,2,Urban,2018,128880.63932457368
2888,3,2,Suburb,1999,254958.46943037125
2046,2,3,Urban,2003,273308.43409054884
1574,4,3,Rural,1958,149579.29679018265
1142,2,3,Rural,1993,161527.3190280167
1992,5,3,Rural,1963,178777.6758820918
1664,4,2,Rural,2002,150072.77768801674
1144,4,2,Rural,1997,189146.19890980687
2248,2,2,Suburb,2003,234782.06338845778
2006,4,1,Rural,1952,183591.66310251813
1502,2,1,Suburb,1969,170893.71510179178
2985,2,3,Rural,2003,380395.7886979188
2997,2,3,Suburb,1953,376243.3121196561
1820,4,3,Urban,1992,233400.28161060603
2639,4,2,Urban,1967,339900.50617751275
1103,3,1,Urban,2015,151308.71799617136
2970,2,3,Suburb,2019,271877.4672284469
2062,2,3,Suburb,1989,170381.16934096307
2970,2,2,Rural,1979,411419.5806336825
1197,2,1,Urban,1972,52537.245182429455
2669,2,3,Rural,1984,308269.09671491076
1578,2,3,Urban,1993,126897.14484619103
1390,2,3,Rural,1999,149880.3394191399
2202,3,3,Urban,1973,158291.97099255945
2991,3,1,Urban,1982,424314.06353728607
1553,5,1,Suburb,1997,223049.0041754864
2471,2,3,Suburb,1967,319933.9042180739
2523,2,2,Suburb,2004,310310.287064534
2038,3,3,Rural,1959,205517.80746223903
2646,3,2,Rural,2000,319871.8642397518
2692,2,3,Rural,1962,230926.29809658605
2312,2,3,Rural,1963,211128.22008074174
1477,3,2,Rural,1981,83129.19404063445
2254,3,3,Suburb,1975,242468.17775536675
1922,5,1,Rural,2000,156453.6391062442
1419,5,2,Urban,1985,238711.63955741408
1156,2,1,Rural,2008,173471.0724480874
1549,3,2,Urban,1970,207848.78337177736
2464,5,1,Suburb,1962,376283.09441827156
2120,2,3,Rural,1965,227705.13945582398
2020,5,3,Rural,1996,295173.21466070786
1996,5,2,Urban,2002,208832.5771638779
2434,5,1,Suburb,1979,181513.9862070892
1950,4,3,Suburb,2013,230751.60475472733
1288,2,1,Urban,1975,206363.55286603371
2277,5,1,Suburb,1980,161369.96935538173
1195,2,2,Rural,1971,177762.60744982713
1597,2,3,Suburb,1993,191429.0700920061
2857,3,2,Suburb,1975,296301.481125016
2545,2,2,Rural,2014,241398.23310669637
1516,5,3,Urban,1958,169922.14559428632
2658,2,1,Suburb,1999,267022.57863697683
2865,3,2,Rural,1998,282967.21274589025
1864,4,3,Rural,1957,166514.29821092534
2141,4,1,Rural,1995,310230.40635129646
1805,3,1,Urban,2009,236104.8196810374
2932,5,1,Suburb,1968,276777.87852348736
2182,5,2,Suburb,1964,248861.92116573846
1814,5,2,Urban,1976,218993.10895829712
